Year	Region	Result	Number
1970	Central America	Killed	5
1970	East Asia	Killed	0
1970	Eastern Europe	Killed	0
1970	MENA	Killed	2
1970	North America	Killed	32
1970	Oceania	Killed	0
1970	South America	Killed	11
1970	South Asia	Killed	1
1970	Southeast Asia	Killed	41
1970	Sub-Saharan Africa	Killed	1
1970	Western Europe	Killed	78
1971	Central America	Killed	3
1971	East Asia	Killed	25
1971	Eastern Europe	Killed	0
1971	MENA	Killed	7
1971	North America	Killed	18
1971	Oceania	Killed	0
1971	South America	Killed	6
1971	Southeast Asia	Killed	2
1971	Sub-Saharan Africa	Killed	1
1971	Western Europe	Killed	112
1972	Central America	Killed	0
1972	Eastern Europe	Killed	26
1972	MENA	Killed	33
1972	North America	Killed	11
1972	Oceania	Killed	1
1972	South America	Killed	6
1972	South Asia	Killed	0
1972	Southeast Asia	Killed	84
1972	Western Europe	Killed	405
1973	Central America	Killed	0
1973	East Asia	Killed	0
1973	Eastern Europe	Killed	1
1973	MENA	Killed	8
1973	North America	Killed	46
1973	Oceania	Killed	0
1973	South America	Killed	16
1973	South Asia	Killed	0
1973	Southeast Asia	Killed	0
1973	Sub-Saharan Africa	Killed	5
1973	Western Europe	Killed	294
1974	Central America	Killed	0
1974	East Asia	Killed	1
1974	Eastern Europe	Killed	1
1974	MENA	Killed	81
1974	North America	Killed	18
1974	Oceania	Killed	0
1974	South America	Killed	21
1974	South Asia	Killed	0
1974	Southeast Asia	Killed	5
1974	Sub-Saharan Africa	Killed	4
1974	Western Europe	Killed	411
1975	Central America	Killed	38
1975	East Asia	Killed	0
1975	MENA	Killed	60
1975	North America	Killed	54
1975	South America	Killed	130
1975	South Asia	Killed	6
1975	Southeast Asia	Killed	1
1975	Sub-Saharan Africa	Killed	29
1975	Western Europe	Killed	299
1976	Central America	Killed	84
1976	East Asia	Killed	2
1976	MENA	Killed	45
1976	North America	Killed	30
1976	South America	Killed	134
1976	South Asia	Killed	1
1976	Southeast Asia	Killed	47
1976	Sub-Saharan Africa	Killed	5
1976	Western Europe	Killed	324
1977	Central America	Killed	36
1977	East Asia	Killed	0
1977	Eastern Europe	Killed	1
1977	MENA	Killed	43
1977	North America	Killed	15
1977	South America	Killed	47
1977	South Asia	Killed	0
1977	Southeast Asia	Killed	102
1977	Sub-Saharan Africa	Killed	17
1977	Western Europe	Killed	193
1978	Central America	Killed	168
1978	East Asia	Killed	4
1978	Eastern Europe	Killed	0
1978	MENA	Killed	687
1978	North America	Killed	12
1978	Oceania	Killed	2
1978	Russia	Killed	4
1978	South America	Killed	93
1978	South Asia	Killed	5
1978	Southeast Asia	Killed	158
1978	Sub-Saharan Africa	Killed	112
1978	Western Europe	Killed	210
1979	Central America	Killed	540
1979	East Asia	Killed	5
1979	Eastern Europe	Killed	0
1979	MENA	Killed	368
1979	North America	Killed	20
1979	Oceania	Killed	0
1979	South America	Killed	183
1979	South Asia	Killed	92
1979	Southeast Asia	Killed	260
1979	Sub-Saharan Africa	Killed	334
1979	Western Europe	Killed	299
1980	Central America	Killed	2976
1980	East Asia	Killed	0
1980	Eastern Europe	Killed	0
1980	MENA	Killed	445
1980	North America	Killed	18
1980	Oceania	Killed	2
1980	South America	Killed	206
1980	South Asia	Killed	40
1980	Southeast Asia	Killed	244
1980	Sub-Saharan Africa	Killed	82
1980	Western Europe	Killed	415
1981	Central America	Killed	3152
1981	East Asia	Killed	0
1981	Eastern Europe	Killed	0
1981	MENA	Killed	772
1981	North America	Killed	7
1981	Oceania	Killed	1
1981	South America	Killed	402
1981	South Asia	Killed	37
1981	Southeast Asia	Killed	201
1981	Sub-Saharan Africa	Killed	102
1981	Western Europe	Killed	177
1982	Central America	Killed	3401
1982	East Asia	Killed	2
1982	Eastern Europe	Killed	2
1982	MENA	Killed	600
1982	North America	Killed	9
1982	Oceania	Killed	0
1982	South America	Killed	672
